id	gene	a	d	mu_r	mu_v
s775	S775	316	332	0.999	0.5
s776	S776	289	300	0.999	0.5
s777	S777	297	314	0.999	0.5
s778	S778	269	279	0.999	0.5
s779	S779	294	305	0.999	0.5
s780	S780	297	308	0.999	0.5
s781	S781	290	300	0.999	0.5
s782	S782	277	288	0.999	0.5
s783	S783	307	310	0.999	0.5
s784	S784	255	265	0.999	0.5
s785	S785	297	309	0.999	0.5
s786	S786	296	305	0.999	0.5
s787	S787	298	306	0.999	0.5
s788	S788	292	297	0.999	0.5
s789	S789	308	317	0.999	0.5
s790	S790	310	318	0.999	0.5
s791	S791	269	280	0.999	0.5
s792	S792	301	308	0.999	0.5
s793	S793	285	301	0.999	0.5
s794	S794	315	326	0.999	0.5
s795	S795	314	327	0.999	0.5
s796	S796	287	292	0.999	0.5
s797	S797	279	284	0.999	0.5
s798	S798	297	306	0.999	0.5
s799	S799	266	277	0.999	0.5
